書名,作者,譯者,出版社,出版日期,語言,價格,庫存量,ISBN,大分類,商品分類,商品網址
被討厭的勇氣：自我啟發之父「阿德勒」的教導," 岸見一郎, 古賀史健", 葉小燕,究竟,2014/10/30,繁體中文,237,10,9789861371955,中文書,心理學,https://www.books.com.tw/products/0010653153
臺灣漫遊錄,楊双子,,春山出版,2020/3/31,繁體中文,355,未標示,9789869866262,中文書,華文創作,https://www.books.com.tw/products/0010852315
財富階梯：（《持續買進》作者新作）資料科學家為你打造，適用人生各階段的致富策略,尼克．馬朱利,李芳齡,商業周刊,2026/5/1,繁體中文,258,10,9786267862308,中文書,投資理財,https://www.books.com.tw/products/0011050390
黃泉使者 (首刷限定版) 11,荒川 弘,方奕勝,東立,2026/5/6,繁體中文,162,10,9786260270438,中文書,奇幻／魔法,https://www.books.com.tw/products/0011049547
我家住在張日興隔壁（2026國際布克獎得主，楊双子個人生命書寫）,楊双子,,寶瓶文化,2020/12/25,繁體中文,260,10,9789864062096,中文書,華文創作,https://www.books.com.tw/products/0010879310
Rewire-神經可塑性：用神經科學突破行為模式迴圈，終結焦慮、恐慌和憂鬱，實現最佳的心理健康,妮可．維諾拉,梁永安,麥田,2024/6/1,繁體中文,258,10,9786263106659,中文書,個人成長,https://www.books.com.tw/products/0010990062
"徹底的信仰，根本的療癒【首刷限定印簽版】：Radical Faith, Radical Healing",楊定一,,天下生活,2026/5/5,繁體中文,466,10,9786267792230,中文書,新時代,https://www.books.com.tw/products/0011050115
納瓦爾寶典珍藏版：從白手起家到財務自由，矽谷傳奇創投家的投資哲學與人生智慧,艾瑞克．喬根森,謝佩妏,天下雜誌,2025/2/5,繁體中文,277,10,9789863989493,中文書,投資理財,https://www.books.com.tw/products/0011012422
汙穢不堪的妳最惹人憐愛 (3),まにお,帽子,台灣角川,2026/5/14,繁體中文,110,未標示,9786264455619,中文書,漫畫/圖文書,https://www.books.com.tw/products/0011049060
槓桿ETF投資法：用50正2輕鬆打敗0050＆0056，提早退休,林政華（大仁）,,一心文化,2023/4/12,繁體中文,406,10,9786269612130,中文書,商業理財,https://www.books.com.tw/products/0010953374
納瓦爾寶典珍藏版：從白手起家到財務自由，矽谷傳奇創投家的投資哲學與人生智慧,艾瑞克．喬根森,謝佩妏,天下雜誌,2025/2/5,繁體中文,277,10,9789863989493,中文書,商業理財 ,https://www.books.com.tw/products/0011012422
祕密中的祕密,丹．布朗,李建興,時報出版,2026/3/31,繁體中文,428,10,9786264443258,中文書,懸疑/推理小說,https://www.books.com.tw/products/0011046959
北歐時間：世界第一幸福國度教會我的事,日暮Inko,林美琪,幸福文化,2025/10/29,繁體中文,193,10,9786267680490,中文書,個人成長,https://www.books.com.tw/products/0011035285
便當實驗室又開張了：日日和特別日的菜單挑戰記,高木直子,洪俞君,大田,2026/5/1,繁體中文,220,10,9786267879016,中文書,圖文書/繪本,https://www.books.com.tw/products/0011050557
